date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:22:02	1744/1744	---M--	200	added ('OK')	text/html	etag:W/%226d0-171fe37a1d8%22	https://alpha-hastebin.glitch.me/robots.txt		(from )
18:22:02	1744/1744	---M--	200	added ('OK')	text/html	etag:W/%226d0-171fe37a1d8%22	https://alpha-hastebin.glitch.me/	C:/Benim%20Web%20Sitem/https___alpha-hastebin.glitch.me_/alpha-hastebin.glitch.me/index.html	(from )
18:22:03	6236/6236	---M--	200	added ('OK')	text/css	etag:W/%22185c-16dabef1b08%22	https://alpha-hastebin.glitch.me/application.min.css	C:/Benim%20Web%20Sitem/https___alpha-hastebin.glitch.me_/alpha-hastebin.glitch.me/application.min.css	(from https://alpha-hastebin.glitch.me/)
18:22:03	1145/1145	---M--	200	added ('OK')	text/css	etag:W/%22479-16daaf1eaa0%22	https://alpha-hastebin.glitch.me/highlight.min.css	C:/Benim%20Web%20Sitem/https___alpha-hastebin.glitch.me_/alpha-hastebin.glitch.me/highlight.min.css	(from https://alpha-hastebin.glitch.me/)
18:22:04	34911/34911	---MC-	200	added ('OK')	image/png	etag:W/%22018028c0ce2d60d03e06c6604b93249f%22	https://i.hizliresim.com/VmoP5T.png	C:/Benim%20Web%20Sitem/https___alpha-hastebin.glitch.me_/i.hizliresim.com/VmoP5T.png	(from https://alpha-hastebin.glitch.me/)
18:22:04	53592/53592	---MCZ	200	added ('OK')	text/css	etag:W/%22dc93d584e41f8417f6b7163320d34329%22	https://use.fontawesome.com/releases/v5.6.3/css/all.css	C:/Benim%20Web%20Sitem/https___alpha-hastebin.glitch.me_/use.fontawesome.com/releases/v5.6.3/css/all.css	(from https://alpha-hastebin.glitch.me/)
18:22:05	86351/86351	---M--	200	added ('OK')	application/javascript	etag:W/%221514f-16daacde3f8%22	https://alpha-hastebin.glitch.me/jquery.min.js	C:/Benim%20Web%20Sitem/https___alpha-hastebin.glitch.me_/alpha-hastebin.glitch.me/jquery.min.js	(from https://alpha-hastebin.glitch.me/)
18:22:05	44330/44330	---M--	200	added ('OK')	application/javascript	etag:W/%22ad2a-16daacde3f8%22	https://alpha-hastebin.glitch.me/highlight.min.js	C:/Benim%20Web%20Sitem/https___alpha-hastebin.glitch.me_/alpha-hastebin.glitch.me/highlight.min.js	(from https://alpha-hastebin.glitch.me/)
18:22:06	4284/4284	---M--	200	added ('OK')	application/javascript	etag:W/%2210bc-176713e5498%22	https://alpha-hastebin.glitch.me/application.min.js	C:/Benim%20Web%20Sitem/https___alpha-hastebin.glitch.me_/alpha-hastebin.glitch.me/application.min.js	(from https://alpha-hastebin.glitch.me/)
18:22:07	0/0	---M--	200	added ('OK')	application/javascript	etag:%220-52880cf0ea6bf%22	https://www.koddostu.com/duzelt.js?no=117	C:/Benim%20Web%20Sitem/https___alpha-hastebin.glitch.me_/www.koddostu.com/duzelt.7bd59.delayed	(from https://alpha-hastebin.glitch.me/)
18:22:07	33700/33700	---M--	200	added ('OK')	image/gif	etag:%22v1f5e%22	http://4.bp.blogspot.com/-NPH5WlqQWUA/U_oHEP5vccI/AAAAAAAAH10/E0PL-VQk9Kc/s1600/bayrak.gif	C:/Benim%20Web%20Sitem/https___alpha-hastebin.glitch.me_/4.bp.blogspot.com/-NPH5WlqQWUA/U_oHEP5vccI/AAAAAAAAH10/E0PL-VQk9Kc/s1600/bayrak.gif	(from https://alpha-hastebin.glitch.me/)
18:22:07	5546/5546	---M--	200	added ('OK')	image/png	etag:W/%2215aa-16daacde3f8%22	https://alpha-hastebin.glitch.me/function-icons.png	C:/Benim%20Web%20Sitem/https___alpha-hastebin.glitch.me_/alpha-hastebin.glitch.me/function-icons.png	(from https://alpha-hastebin.glitch.me/application.min.css)
